step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,acc_x,acc_y,acc_z,heading_x,heading_y,heading_z,dist_to_obs,margin,collision,dist_to_target,progress_pct,depth_valid_pct
0,0.0000,7.9741,6.2574,5.5474,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,5.3877,0.4870,0,4.4067,0.00,0.00
1,0.0667,7.9741,6.2574,5.5474,0.0095,0.0008,-0.0006,0.0095,0.2837,0.0231,-0.0172,0.9865,0.1640,-0.0000,5.3877,0.4870,0,4.4067,0.00,0.00
2,0.1333,7.9754,6.2575,5.5473,0.0278,0.0026,-0.0039,0.0282,0.2679,0.0311,-0.0826,0.9491,0.3148,-0.0000,5.3883,0.4870,0,4.4065,0.00,0.00
3,0.2000,7.9779,6.2577,5.5469,0.0465,0.0064,-0.0113,0.0483,0.2922,0.0832,-0.1406,0.8941,0.4478,-0.0000,5.3893,0.4870,0,4.4060,0.01,0.00
4,0.2667,7.9816,6.2583,5.5458,0.0624,0.0091,-0.0170,0.0653,0.1853,-0.0003,-0.0287,0.8277,0.5612,-0.0000,5.3911,0.4870,0,4.4048,0.04,0.00
5,0.3333,7.9862,6.2589,5.5446,0.0810,0.0124,-0.0324,0.0881,0.3721,0.0987,-0.4343,0.7553,0.6551,-0.0196,5.3932,0.4870,0,4.4034,0.07,0.00
6,0.4000,7.9924,6.2600,5.5415,0.1113,0.0262,-0.0790,0.1389,0.5354,0.3138,-0.9634,0.6813,0.7305,-0.0469,5.3961,0.4870,0,4.4001,0.15,0.00
7,0.4667,8.0010,6.2624,5.5341,0.1454,0.0531,-0.1552,0.2192,0.4890,0.4928,-1.3224,0.6088,0.7900,-0.0722,5.4007,0.4870,0,4.3924,0.32,0.00
8,0.5333,8.0118,6.2671,5.5208,0.1797,0.0936,-0.2600,0.3296,0.5388,0.7231,-1.8229,0.5399,0.8363,-0.0952,5.4074,0.4870,0,4.3783,0.64,0.00
9,0.6000,8.0250,6.2749,5.4994,0.2130,0.1430,-0.3879,0.4651,0.4624,0.7599,-2.0130,0.4757,0.8720,-0.1154,5.4171,0.4870,0,4.3557,1.16,0.00
10,0.6667,8.0402,6.2861,5.4691,0.2425,0.1977,-0.5285,0.6142,0.4204,0.8814,-2.2061,0.4168,0.8994,-0.1319,5.4298,0.4870,0,4.3235,1.89,0.00
11,0.7333,8.0573,6.3013,5.4289,0.2701,0.2626,-0.6776,0.7753,0.4077,1.0646,-2.2653,0.3630,0.9204,-0.1450,5.4461,0.4870,0,4.2808,2.86,0.00
12,0.8000,8.0762,6.3211,5.3787,0.2916,0.3337,-0.8305,0.9413,0.2374,1.0669,-2.3209,0.3142,0.9368,-0.1542,5.4114,0.4870,0,4.2271,4.07,0.00
13,0.8667,8.0962,6.3458,5.3182,0.3040,0.4060,-0.9870,1.1097,0.1363,1.1039,-2.3748,0.2699,0.9497,-0.1587,5.3508,0.4870,0,4.1623,5.55,0.00
14,0.9333,8.1167,6.3753,5.2471,0.3111,0.4770,-1.1440,1.2779,0.0755,1.0254,-2.3367,0.2297,0.9602,-0.1588,5.2798,0.4870,0,4.0859,7.28,0.00
15,1.0000,8.1377,6.4094,5.1657,0.3105,0.5449,-1.2922,1.4363,-0.0920,1.0124,-2.1077,0.1931,0.9689,-0.1547,5.1988,0.4870,0,3.9983,9.27,0.00
16,1.0667,8.1582,6.4479,5.0748,0.3035,0.6116,-1.4311,1.5857,-0.1204,0.9893,-2.0613,0.1594,0.9756,-0.1509,5.1087,0.4870,0,3.9004,11.49,0.00
17,1.1333,8.1781,6.4909,4.9748,0.2942,0.6763,-1.5621,1.7275,-0.1588,0.9521,-1.8673,0.1282,0.9807,-0.1476,5.0100,0.4870,0,3.7926,13.94,0.00
18,1.2000,8.1974,6.5381,4.8665,0.2769,0.7352,-1.6807,1.8552,-0.3590,0.8136,-1.6895,0.0993,0.9845,-0.1447,4.9036,0.4870,0,3.6756,16.59,0.00
19,1.2667,8.2150,6.5889,4.7507,0.2549,0.7916,-1.7849,1.9691,-0.2997,0.8797,-1.4368,0.0723,0.9872,-0.1424,4.7902,0.4870,0,3.5503,19.43,0.00
20,1.3333,8.2314,6.6437,4.6286,0.2323,0.8496,-1.8776,2.0740,-0.3792,0.8600,-1.3462,0.0470,0.9890,-0.1399,4.6662,0.4870,0,3.4178,22.44,0.00
21,1.4000,8.2460,6.7022,4.5004,0.2079,0.9052,-1.9587,2.1677,-0.3540,0.8056,-1.0847,0.0231,0.9903,-0.1372,4.5367,0.4870,0,3.2783,25.61,0.00
22,1.4667,8.2591,6.7644,4.3674,0.1798,0.9569,-2.0286,2.2502,-0.4882,0.7464,-1.0144,0.0005,0.9909,-0.1346,4.4029,0.4870,0,3.1330,28.90,0.00
23,1.5333,8.2700,6.8298,4.2299,0.1491,1.0029,-2.0903,2.3232,-0.4321,0.6350,-0.8346,-0.0210,0.9911,-0.1317,4.2655,0.4870,0,2.9824,32.32,0.00
24,1.6000,8.2790,6.8981,4.0887,0.1196,1.0471,-2.1447,2.3896,-0.4547,0.6914,-0.7972,-0.0416,0.9908,-0.1287,4.1254,0.4870,0,2.8273,35.84,0.00
25,1.6667,8.2859,6.9694,3.9440,0.0902,1.0874,-2.1949,2.4511,-0.4267,0.5156,-0.7086,-0.0614,0.9903,-0.1249,3.9831,0.4870,0,2.6677,39.46,0.00
26,1.7333,8.2910,7.0431,3.7961,0.0567,1.1220,-2.2378,2.5039,-0.5770,0.5228,-0.5787,-0.0806,0.9895,-0.1201,3.8392,0.4870,0,2.5045,43.17,0.00
27,1.8000,8.2935,7.1190,3.6456,0.0186,1.1549,-2.2732,2.5498,-0.5678,0.4640,-0.4855,-0.0992,0.9884,-0.1146,3.6898,0.4870,0,2.3379,46.95,0.00
28,1.8667,8.2935,7.1970,3.4930,-0.0174,1.1825,-2.3019,2.5879,-0.5119,0.3648,-0.3735,-0.1174,0.9871,-0.1089,3.5384,0.4870,0,2.1686,50.79,0.00
29,1.9333,8.2912,7.2767,3.3387,-0.0525,1.2072,-2.3258,2.6210,-0.5402,0.3767,-0.3448,-0.1352,0.9854,-0.1030,3.3855,0.4870,0,1.9972,54.68,0.00
