step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,acc_x,acc_y,acc_z,heading_x,heading_y,heading_z,dist_to_obs,margin,collision,dist_to_target,progress_pct,depth_valid_pct
0,0.0000,-6.4728,4.0441,5.0539,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.3097,0.1732,0,2.7562,0.00,99.48
1,0.0667,-6.4728,4.0441,5.0539,-0.0005,-0.0015,0.0126,0.0127,-0.0162,-0.0450,0.3768,0.9534,-0.3018,-0.0000,1.3097,0.1732,0,2.7562,0.00,100.00
2,0.1333,-6.4729,4.0439,5.0555,-0.0015,-0.0031,0.0385,0.0386,-0.0114,-0.0019,0.4002,0.8227,-0.5685,-0.0000,1.3109,0.1732,0,2.7556,0.02,100.00
3,0.2000,-6.4730,4.0437,5.0590,-0.0004,-0.0040,0.0663,0.0664,0.0430,-0.0255,0.4338,0.6417,-0.7669,-0.0000,1.3135,0.1732,0,2.7544,0.06,100.00
4,0.2667,-6.4729,4.0434,5.0644,0.0011,-0.0024,0.0927,0.0927,0.0024,0.0719,0.3596,0.4473,-0.8944,-0.0000,1.3174,0.1732,0,2.7528,0.12,100.00
5,0.3333,-6.4728,4.0434,5.0713,-0.0028,-0.0049,0.1260,0.1261,-0.1209,-0.1466,0.6391,0.2641,-0.9644,-0.0140,1.3228,0.1732,0,2.7510,0.19,100.00
6,0.4000,-6.4733,4.0428,5.0812,-0.0199,-0.0295,0.1760,0.1796,-0.3918,-0.5895,0.8624,0.1037,-0.9933,-0.0511,1.3302,0.1732,0,2.7477,0.31,100.00
7,0.4667,-6.4755,4.0395,5.0948,-0.0610,-0.0754,0.2304,0.2500,-0.8402,-0.7882,0.7688,-0.0304,-0.9963,-0.0809,1.3399,0.1732,0,2.7404,0.57,100.00
8,0.5333,-6.4814,4.0327,5.1119,-0.1250,-0.1314,0.2780,0.3319,-1.0790,-0.8923,0.6595,-0.1395,-0.9851,-0.1009,1.3518,0.1732,0,2.7275,1.04,100.00
9,0.6000,-6.4921,4.0220,5.1319,-0.1978,-0.1901,0.3175,0.4195,-1.1046,-0.8675,0.5238,-0.2268,-0.9671,-0.1153,1.3660,0.1732,0,2.7081,1.75,100.00
10,0.6667,-6.5078,4.0074,5.1542,-0.2746,-0.2496,0.3502,0.5103,-1.2006,-0.9198,0.4585,-0.2958,-0.9471,-0.1241,1.3823,0.1732,0,2.6824,2.68,100.00
11,0.7333,-6.5288,3.9887,5.1786,-0.3508,-0.3096,0.3749,0.5995,-1.0848,-0.8780,0.2821,-0.3501,-0.9276,-0.1306,1.4009,0.1732,0,2.6502,3.85,100.00
12,0.8000,-6.5546,3.9661,5.2042,-0.4210,-0.3658,0.3921,0.6818,-1.0227,-0.8090,0.2337,-0.3927,-0.9100,-0.1331,1.4200,0.1732,0,2.6120,5.23,100.00
13,0.8667,-6.5849,3.9399,5.2309,-0.4828,-0.4205,0.4069,0.7586,-0.8308,-0.8328,0.2092,-0.4258,-0.8948,-0.1340,1.4292,0.1732,0,2.5684,6.82,100.00
14,0.9333,-6.6189,3.9100,5.2584,-0.5337,-0.4791,0.4168,0.8295,-0.6964,-0.9248,0.0901,-0.4509,-0.8811,-0.1428,1.4395,0.1732,0,2.5196,8.58,100.00
15,1.0000,-6.6561,3.8760,5.2864,-0.5783,-0.5472,0.4241,0.9021,-0.6401,-1.1184,0.1288,-0.4692,-0.8683,-0.1611,1.4503,0.1732,0,2.4660,10.53,100.00
16,1.0667,-6.6960,3.8371,5.3150,-0.6205,-0.6338,0.4319,0.9866,-0.6281,-1.4797,0.1042,-0.4815,-0.8555,-0.1905,1.4619,0.1732,0,2.4068,12.68,100.00
17,1.1333,-6.7388,3.7915,5.3440,-0.6625,-0.7415,0.4409,1.0877,-0.6293,-1.7495,0.1654,-0.4889,-0.8425,-0.2263,1.4740,0.1732,0,2.3408,15.07,100.00
18,1.2000,-6.7844,3.7382,5.3738,-0.7061,-0.8740,0.4516,1.2110,-0.6795,-2.2265,0.1577,-0.4924,-0.8298,-0.2627,1.4870,0.1732,0,2.2669,17.75,100.00
19,1.2667,-6.8329,3.6750,5.4042,-0.7552,-1.0308,0.4583,1.3576,-0.7949,-2.4773,0.0431,-0.4939,-0.8186,-0.2932,1.5013,0.1732,0,2.1833,20.79,100.00
20,1.3333,-6.8851,3.6008,5.4349,-0.8146,-1.1995,0.4594,1.5210,-0.9863,-2.5855,-0.0102,-0.4945,-0.8098,-0.3158,1.5176,0.1732,0,2.0888,24.22,100.00
21,1.4000,-6.9416,3.5150,5.4655,-0.8816,-1.3733,0.4596,1.6954,-1.0224,-2.6287,0.0138,-0.4950,-0.8032,-0.3313,1.5380,0.1732,0,1.9825,28.07,100.00
22,1.4667,-7.0026,3.4176,5.4962,-0.9521,-1.5499,0.4600,1.8762,-1.0944,-2.6669,0.0009,-0.4957,-0.7986,-0.3414,1.5350,0.1732,0,1.8641,32.37,100.00
23,1.5333,-7.0685,3.3084,5.5268,-1.0311,-1.7248,0.4610,2.0617,-1.2734,-2.5808,0.0290,-0.4970,-0.7961,-0.3454,1.5369,0.1732,0,1.7334,37.11,100.00
24,1.6000,-7.1401,3.1877,5.5576,-1.1183,-1.8906,0.4612,2.2445,-1.3454,-2.3936,-0.0258,-0.4996,-0.7958,-0.3421,1.5489,0.1732,0,1.5902,42.31,100.00
